code_system,code,display,classification,review_reason
SNOMED,24693007,Fibromyositis (disorder),,
SNOMED,363406005,Malignant neoplasm of colon (disorder),,
SNOMED,49218002,Pain of hip region (finding),,
SNOMED,47505003,Post-traumatic stress disorder (disorder),,
SNOMED,703938007,Inflammatory dermatosis (disorder),,
SNOMED,9014002,Psoriasis (disorder),,
SNOMED,57190000,Myopia (disorder),,
SNOMED,1201005,Benign essential hypertension (disorder),,
SNOMED,442311008,Liveborn born in hospital (situation),,
SNOMED,723620004,Requires vaccination (finding),,
SNOMED,214031005,Motor vehicle traffic accident (event),,
SNOMED,102589003,Atypical chest pain (finding),,
SNOMED,39450006,Senile cataract (disorder),,
SNOMED,88610006,Heart murmur (finding),,
SNOMED,166603001,Liver function tests outside reference range (finding),,
SNOMED,194828000,Angina (disorder),,
SNOMED,390951007,Impaired fasting glycemia (disorder),,
SNOMED,413838009,Chronic ischemic heart disease (disorder),,
SNOMED,40055000,Chronic sinusitis (disorder),,
SNOMED,289903006,Menopause present (finding),,
SNOMED,27355003,Toothache (finding),,
SNOMED,254701007,Basal cell carcinoma of skin (disorder),,
SNOMED,9826008,Conjunctivitis (disorder),,
SNOMED,20135006,Screening procedure (procedure),,
SNOMED,396152005,Prostate specific antigen above reference range (finding),,
SNOMED,9414007,Impaired glucose tolerance (disorder),,
SNOMED,77176002,Smoker (finding),,
SNOMED,4740000,Herpes zoster (disorder),,
SNOMED,202882003,Plantar fasciitis (disorder),,
SNOMED,302870006,Hypertriglyceridemia (disorder),,
SNOMED,80182007,Irregular periods (finding),,
SNOMED,60700002,Sensorineural hearing loss (disorder),,
SNOMED,12063002,Rectal hemorrhage (disorder),,
SNOMED,161615003,History of surgery (situation),,
SNOMED,13200003,Peptic ulcer (disorder),,
SNOMED,270352002,Medical examinations/reports (procedure),,
SNOMED,60862001,Tinnitus (finding),,
SNOMED,95315005,Uterine leiomyoma (disorder),,
SNOMED,13746004,Bipolar disorder (disorder),,
SNOMED,34713006,Vitamin D deficiency (disorder),,
SNOMED,266257000,Transient ischemic attack (disorder),,
SNOMED,43878008,Streptococcal sore throat (disorder),,
SNOMED,414941008,Onychomycosis (disorder),,
SNOMED,128053003,Deep venous thrombosis (disorder),,
SNOMED,41256004,Presbyopia (disorder),,
SNOMED,110466009,Pre-surgery evaluation (procedure),,
SNOMED,103735009,Palliative care (regime/therapy),,
SNOMED,387712008,Neonatal jaundice (finding),,
SNOMED,419760006,Bacterial vaginosis (disorder),,
SNOMED,267102003,Sore throat (finding),,
SNOMED,18070006,Impacted cerumen (disorder),,
SNOMED,47933007,Foot pain (finding),,
SNOMED,23056005,Sciatica (disorder),,
SNOMED,271809000,Peripheral edema (disorder),,
SNOMED,422400008,Vomiting (disorder),,
SNOMED,428283002,History of polyp of colon (situation),,
SNOMED,236646007,Benign prostatic hyperplasia with outflow obstruction (disorder),,
SNOMED,266474003,Calculus in biliary tract (disorder),,
SNOMED,79922009,Epigastric pain (finding),,
SNOMED,195239002,Late effects of cerebrovascular disease (disorder),,
SNOMED,25374005,Inflammation of stomach and intestine (disorder),,
SNOMED,59282003,Pulmonary embolism (disorder),,
SNOMED,396232000,Inguinal hernia (disorder),,
SNOMED,57019003,Verruca vulgaris (disorder),,
SNOMED,262285001,Weight decreased (finding),,
SNOMED,91302008,Sepsis (disorder),,
SNOMED,127013003,Disorder of kidney due to diabetes mellitus (disorder),,
SNOMED,399261000,History of coronary artery bypass grafting (situation),,
SNOMED,275978004,Screening for malignant neoplasm of colon (procedure),,
SNOMED,16932000,Nausea and vomiting (disorder),,
SNOMED,34486009,Hyperthyroidism (disorder),,
SNOMED,128477000,Abscess (disorder),,
SNOMED,80967001,Dental caries (disorder),,
SNOMED,74474003,Gastrointestinal hemorrhage (disorder),,
SNOMED,398909004,Rosacea (disorder),,
SNOMED,49049000,Parkinson's disease (disorder),,
SNOMED,443694000,Uncontrolled type 2 diabetes mellitus (disorder),,
SNOMED,414033006,Disorder of rotator cuff (disorder),,
SNOMED,386692008,Menorrhagia (finding),,
SNOMED,363358000,Malignant neoplasm of lung (disorder),,
SNOMED,57676002,Pain of joint (finding),,
SNOMED,238136002,Morbid obesity (disorder),,
SNOMED,371088008,Reactive airways dysfunction syndrome (disorder),,
SNOMED,82991003,Generalized aches and pains (finding),,
SNOMED,84089009,Hiatal hernia (disorder),,
SNOMED,267954009,Pain of joint of ankle and/or foot (finding),,
SNOMED,32914008,Restless legs syndrome (disorder),,
SNOMED,302215000,Thrombocytopenic disorder (disorder),,
SNOMED,1755008,Old myocardial infarction (disorder),,
SNOMED,386033004,Neuropathy (disorder),,
SNOMED,85898001,Cardiomyopathy (disorder),,
SNOMED,926335004,Rupture of rotator cuff of shoulder (disorder),,
SNOMED,281900007,No abnormality detected (finding),,
SNOMED,24079001,Atopic dermatitis (disorder),,
SNOMED,281239006,Exacerbation of asthma (disorder),,
SNOMED,30473006,Pain in pelvis (finding),,
SNOMED,40275004,Contact dermatitis (disorder),,
SNOMED,162031009,Indigestion (finding),,
SNOMED,56294008,Nicotine dependence (disorder),,
SNOMED,254838004,Carcinoma of breast (disorder),,
SNOMED,44465007,Sprain of ankle (disorder),,
SNOMED,173422009,Tonsillectomy (procedure),,
SNOMED,422338006,Degenerative disorder of macula (disorder),,
SNOMED,427359005,Solitary nodule of lung (finding),,
SNOMED,66590003,Alcohol dependence (disorder),,
SNOMED,43339004,Hypokalemia (disorder),,
SNOMED,28913000,Tonsillectomy and adenoidectomy (procedure),,
SNOMED,48724000,Mitral valve regurgitation (disorder),,
SNOMED,1306692000,Harmful pattern of substance use (disorder),,
SNOMED,185317003,Telephone encounter (procedure),,
SNOMED,398780007,Contraception education (procedure),,
SNOMED,89627008,Hyponatremia (finding),,
SNOMED,4.4991E+13,Abnormal uterine bleeding (disorder),,
SNOMED,233985008,Abdominal aortic aneurysm (disorder),,
SNOMED,95324001,Skin lesion (disorder),,
SNOMED,410083007,Rehabilitation therapy management (procedure),,
SNOMED,79883001,Cyst of ovary (disorder),,
SNOMED,3135009,Otitis externa (disorder),,
SNOMED,162116003,Increased frequency of urination (finding),,
SNOMED,298382003,Scoliosis deformity of spine (disorder),,
SNOMED,8517006,Ex-smoker (finding),,
SNOMED,90458007,Internal hemorrhoids (disorder),,
SNOMED,54048003,Threatened abortion (disorder),,
SNOMED,237495005,Thyroid nodule (disorder),,
SNOMED,50563003,Seborrheic dermatitis (disorder),,
SNOMED,76107001,Spinal stenosis (disorder),,
SNOMED,266599000,Dysmenorrhea (disorder),,
SNOMED,168750009,Mammography abnormal (finding),,
SNOMED,3110003,Acute otitis media (disorder),,
SNOMED,26929004,Alzheimer's disease (disorder),,
SNOMED,230572002,Neuropathy due to diabetes mellitus (disorder),,
SNOMED,363746003,Acute pharyngitis (disorder),,
SNOMED,77547008,Degeneration of intervertebral disc (disorder),,
SNOMED,35253001,"Attention deficit hyperactivity disorder, predominantly inattentive type (disorder)",,
SNOMED,83074005,Unplanned pregnancy (finding),,
SNOMED,473021009,Secondary erectile dysfunction (disorder),,
SNOMED,18347007,Spinal stenosis of lumbar region (disorder),,
SNOMED,55566008,Accidental physical contact (event),,
SNOMED,29738008,Proteinuria (finding),,
SNOMED,384634009,Postnatal maternal examination (procedure),,
SNOMED,126485001,Urticaria (disorder),,
SNOMED,33839006,Genital herpes simplex (disorder),,
SNOMED,422587007,Nausea (finding),,
SNOMED,86094006,Chronic rhinitis (disorder),,
SNOMED,24700007,Multiple sclerosis (disorder),,
SNOMED,433144002,Chronic kidney disease stage 3 (disorder),,
SNOMED,371631005,Panic disorder (disorder),,
SNOMED,26079004,Tremor (finding),,
SNOMED,406506008,Attention deficit hyperactivity disorder (disorder),,
SNOMED,185903001,Needs influenza immunization (finding),,
SNOMED,190634004,Cobalamin deficiency (disorder),,
SNOMED,238040008,Familial combined hyperlipidemia (disorder),,
SNOMED,21897009,Generalized anxiety disorder (disorder),,
SNOMED,48167000,Amnesia (finding),,
SNOMED,73761001,Colonoscopy (procedure),,
SNOMED,301354004,Pain of ear (finding),,
SNOMED,302764009,Rubella non-immune (finding),,
SNOMED,267064002,Retention of urine (disorder),,
SNOMED,118601006,Non-Hodgkin's lymphoma (disorder),,
SNOMED,7200002,Alcoholism (disorder),,
SNOMED,49650001,Dysuria (finding),,
SNOMED,77543007,Ligation of fallopian tube (procedure),,
SNOMED,282825002,Paroxysmal atrial fibrillation (disorder),,
SNOMED,52052004,Rehabilitation therapy (regime/therapy),,
SNOMED,20696009,Peripheral venous insufficiency (disorder),,
SNOMED,390834004,Nonproliferative retinopathy due to diabetes mellitus (disorder),,
SNOMED,267949000,Pain of glenohumeral joint (finding),,
SNOMED,18818009,Moderate recurrent major depression (disorder),,
SNOMED,307496006,Diverticulitis (disorder),,
SNOMED,14140009,Hyperkalemia (disorder),,
SNOMED,268621008,Recurrent major depressive episodes (disorder),,
SNOMED,243787009,Antenatal screening (procedure),,
SNOMED,109989006,Multiple myeloma (disorder),,
SNOMED,68905002,Regular astigmatism (disorder),,
SNOMED,94381002,Metastatic malignant neoplasm to liver (disorder),,
SNOMED,64766004,Ulcerative colitis (disorder),,
SNOMED,30800001,Vaginitis (disorder),,
SNOMED,14669001,Acute kidney injury (disorder),,
SNOMED,72892002,Normal pregnancy (finding),,
SNOMED,414396006,Hernia of anterior abdominal wall (disorder),,
SNOMED,14302001,Amenorrhea (finding),,
SNOMED,34840004,Tendinitis (disorder),,
SNOMED,70076002,Rhinitis (disorder),,
SNOMED,231504006,Mixed anxiety and depressive disorder (disorder),,
SNOMED,62914000,Cerebrovascular disease (disorder),,
SNOMED,102556003,Pain in upper limb (finding),,
SNOMED,249366005,Bleeding from nose (finding),,
SNOMED,34000006,Crohn's disease (disorder),,
SNOMED,193589009,Nuclear senile cataract (disorder),,
SNOMED,68962001,Muscle pain (finding),,
SNOMED,408968008,Contraception care education (procedure),,
SNOMED,419893006,Epidermoid cyst (disorder),,
SNOMED,386806002,Impaired cognition (finding),,
SNOMED,195951007,Acute exacerbation of chronic obstructive pulmonary disease (disorder),,
SNOMED,182770003,Pre-anesthetic assessment (procedure),,
SNOMED,69494008,Eustachian tube disorder (disorder),,
SNOMED,400096001,Melanocytic nevus (disorder),,
SNOMED,22253000,Pain (finding),,
SNOMED,302914006,Barrett's esophagus (disorder),,
SNOMED,271939006,Vaginal discharge (finding),,
SNOMED,281031002,Well woman health examination (procedure),,
SNOMED,372244006,Malignant melanoma (disorder),,
SNOMED,13600006,Folliculitis (disorder),,
SNOMED,160303001,Family history of diabetes mellitus (situation),,
SNOMED,409712001,Mitral valve prolapse (disorder),,
SNOMED,128302006,Chronic hepatitis C (disorder),,
SNOMED,19943007,Cirrhosis of liver (disorder),,
SNOMED,767357000,Sampling of cervix for Papanicolaou smear done (situation),,
SNOMED,38101003,Hypermetropia (disorder),,
SNOMED,88594005,Herpes simplex (disorder),,
SNOMED,129103003,Endometriosis (disorder),,
SNOMED,230691006,Cerebrovascular accident due to occlusion of cerebral artery (disorder),,
SNOMED,11687002,Gestational diabetes mellitus (disorder),,
SNOMED,82271004,Injury of head (disorder),,
SNOMED,34095006,Dehydration (disorder),,
SNOMED,125605004,Fracture of bone (disorder),,
SNOMED,238131007,Overweight (finding),,
SNOMED,236021006,Right inguinal hernia (disorder),,
SNOMED,17226007,Adjustment disorder (disorder),,
SNOMED,6020002,Tinea pedis (disorder),,
SNOMED,60573004,Aortic valve stenosis (disorder),,
SNOMED,66071002,Viral hepatitis type B (disorder),,
SNOMED,396347007,Umbilical hernia (disorder),,
SNOMED,400097005,Ingrowing nail (disorder),,
SNOMED,76742009,Postmenopausal bleeding (finding),,
SNOMED,185389009,Follow-up visit (procedure),,
SNOMED,3716002,Goiter (disorder),,
SNOMED,94222008,Metastatic malignant neoplasm to bone (disorder),,
SNOMED,87433001,Pulmonary emphysema (disorder),,
SNOMED,236022004,Left inguinal hernia (disorder),,
SNOMED,72863001,Snoring (finding),,
SNOMED,22298006,Myocardial infarction (disorder),,
SNOMED,279084009,Chest discomfort (finding),,
SNOMED,171128005,Venereal disease screening (procedure),,
SNOMED,237055002,Polycystic ovary syndrome (disorder),,
SNOMED,781067001,Polycystic ovary (disorder),,
SNOMED,11466000,Cesarean section (procedure),,
SNOMED,197940006,Microscopic hematuria (disorder),,
SNOMED,56608008,Pain of wrist region (finding),,
SNOMED,415076002,Personal history of primary malignant neoplasm of breast (situation),,
SNOMED,60046008,Pleural effusion (disorder),,
SNOMED,232717009,Coronary artery bypass grafting (procedure),,
SNOMED,236648008,Acute retention of urine (disorder),,
SNOMED,199047001,False labor (finding),,
SNOMED,289530006,Bleeding from vagina (finding),,
SNOMED,274714007,Shadow of lung (finding),,
SNOMED,111566002,Acquired hypothyroidism (disorder),,
SNOMED,44223004,Premature rupture of membranes (disorder),,
SNOMED,86406008,Human immunodeficiency virus infection (disorder),,
SNOMED,125667009,Contusion (disorder),,
SNOMED,94391008,Metastatic malignant neoplasm to lung (disorder),,
SNOMED,271437004,Problem situation relating to social and personal history (finding),,
SNOMED,66931009,Hypercalcemia (disorder),,
SNOMED,19063003,Arthroplasty of knee (procedure),,
SNOMED,266254007,Occlusion of carotid artery (disorder),,
SNOMED,77259008,Prolonged second stage of labor (disorder),,
SNOMED,93163002,Lipoma (disorder),,
SNOMED,7895008,Poisoning caused by drug AND/OR medicinal substance (disorder),,
SNOMED,64905009,Paranoid schizophrenia (disorder),,
SNOMED,183646003,Postoperative visit (finding),,
SNOMED,72605008,Candidal vulvovaginitis (disorder),,
SNOMED,161805006,Past pregnancy history of cesarean section (situation),,
SNOMED,421961002,Hypersensitivity reaction (disorder),,
SNOMED,78667006,Dysthymia (disorder),,
SNOMED,1263729008,Fetal disorder due to premature rupture of membranes (disorder),,
SNOMED,7058009,Noncompliance with treatment (finding),,
SNOMED,161898004,Falls (finding),,
SNOMED,48532005,Muscle strain (disorder),,
SNOMED,58214004,Schizophrenia (disorder),,
SNOMED,63467002,Left bundle branch block (disorder),,
SNOMED,5370000,Atrial flutter (disorder),,
SNOMED,371622005,Elevated blood pressure reading without diagnosis of hypertension (situation),,
SNOMED,421326000,Disorder of nervous system due to type 2 diabetes mellitus (disorder),,
SNOMED,4557003,Preinfarction syndrome (disorder),,
SNOMED,44808001,Conduction disorder of the heart (disorder),,
SNOMED,202855006,Lateral epicondylitis (disorder),,
SNOMED,125666000,Burn (disorder),,
SNOMED,11530004,Brittle diabetes mellitus (disorder),,
SNOMED,45816000,Pyelonephritis (disorder),,
SNOMED,63491006,Intermittent claudication (finding),,
SNOMED,72866009,Varicose veins of lower extremity (disorder),,
SNOMED,50582007,Hemiplegia (disorder),,
SNOMED,30549001,Removal of suture (procedure),,
SNOMED,134407002,Chronic back pain (finding),,
SNOMED,82423001,Chronic pain (finding),,
SNOMED,4120002,Bronchiolitis (disorder),,
SNOMED,426979002,Mild persistent asthma (disorder),,
SNOMED,94392001,Metastatic malignant neoplasm to lymph node (disorder),,
SNOMED,267434003,Mixed hyperlipidemia (disorder),,
SNOMED,60241006,Female urinary stress incontinence (finding),,
SNOMED,201837004,"Localized, primary osteoarthritis of the ankle and/or foot (disorder)",,
SNOMED,397974008,Hypesthesia (finding),,
SNOMED,53057004,Hand pain (finding),,
SNOMED,69322001,Psychotic disorder (disorder),,
SNOMED,123756000,Menopausal syndrome (disorder),,
SNOMED,54329005,Acute myocardial infarction of anterior wall (disorder),,
SNOMED,266717002,Hormone replacement therapy (procedure),,
SNOMED,12295008,Bronchiectasis (disorder),,
SNOMED,128196005,Lumbar radiculopathy (disorder),,
SNOMED,239872002,Osteoarthritis of hip (disorder),,
SNOMED,394659003,Acute coronary syndrome (disorder),,
SNOMED,254582000,Adenocarcinoma of rectum (disorder),,
SNOMED,126660000,Deviated nasal septum (disorder),,
SNOMED,60845006,Dyspnea on exertion (finding),,
SNOMED,91019004,Paresthesia (finding),,
SNOMED,302866003,Hypoglycemia (disorder),,
SNOMED,404223003,Deep venous thrombosis of lower extremity (disorder),,
SNOMED,88797001,Complication of surgical procedure (disorder),,
SNOMED,427679007,Mild intermittent asthma (disorder),,
SNOMED,162673000,General examination of patient (procedure),,
SNOMED,309737007,Abdominal pain in pregnancy (finding),,
SNOMED,55464009,Systemic lupus erythematosus (disorder),,
SNOMED,194849004,Generalized ischemic myocardial dysfunction (disorder),,
SNOMED,405729008,Hematochezia (finding),,
SNOMED,95344007,Ulcer of lower extremity (disorder),,
SNOMED,239880009,Lumbar spondylosis (disorder),,
SNOMED,17741008,Acute tonsillitis (disorder),,
SNOMED,16761005,Esophagitis (disorder),,
SNOMED,60234000,Aortic valve regurgitation (disorder),,
SNOMED,372130007,Malignant neoplasm of skin (disorder),,
SNOMED,419284004,Altered mental status (finding),,
SNOMED,56317004,Alopecia (disorder),,
SNOMED,47200007,High risk pregnancy (finding),,
SNOMED,166643006,Liver enzymes outside reference range (finding),,
SNOMED,16607004,Missed abortion (disorder),,
SNOMED,399326009,Malignant neoplasm of urinary bladder (disorder),,
SNOMED,6456007,Supraventricular tachycardia (disorder),,
SNOMED,70995007,Pulmonary hypertension (disorder),,
SNOMED,68235000,Nasal congestion (finding),,
SNOMED,309523001,Artificial lens present (finding),,
SNOMED,247355005,Flank pain (finding),,
SNOMED,66857006,Hemoptysis (finding),,
SNOMED,111843007,Viral gastroenteritis (disorder),,
SNOMED,301717006,Right upper quadrant pain (finding),,
SNOMED,77075001,Primary open angle glaucoma (disorder),,
SNOMED,363443007,Malignant neoplasm of ovary (disorder),,
SNOMED,249288007,Incomplete emptying of urinary bladder (finding),,
SNOMED,279333002,Pruritic disorder (disorder),,
SNOMED,27431007,Fibrocystic breast changes (finding),,
SNOMED,183644000,Surgical follow-up (finding),,
SNOMED,84849002,Tinea corporis (disorder),,
SNOMED,127296001,Intracranial injury (disorder),,
SNOMED,57419008,Gastroenteritis presumed infectious (disorder),,
SNOMED,48440001,Gouty arthritis (disorder),,
SNOMED,197456007,Acute pancreatitis (disorder),,
SNOMED,57054005,Acute myocardial infarction (disorder),,
SNOMED,225457007,Feeling suicidal (finding),,
SNOMED,274100004,Cerebral hemorrhage (disorder),,
SNOMED,87557004,Urge incontinence of urine (finding),,
SNOMED,49472006,Megaloblastic anemia due to vitamin B>12< deficiency (disorder),,
SNOMED,92814006,"Chronic lymphoid leukemia, disease (disorder)",,
SNOMED,362971004,Disorder of lymphatic system (disorder),,
SNOMED,18114009,Prenatal examination and care of mother (procedure),,
SNOMED,397881000,Diverticular disease (disorder),,
SNOMED,67198005,Paroxysmal supraventricular tachycardia (disorder),,
SNOMED,105629000,Chlamydial infection (disorder),,
SNOMED,90176007,Tonsillitis (disorder),,
SNOMED,46152009,Tear film insufficiency (disorder),,
SNOMED,22325002,Abnormal gait (finding),,
SNOMED,52684005,Assault (event),,
SNOMED,217082002,Accidental fall (event),,
SNOMED,70536003,Transplant of kidney (procedure),,
SNOMED,262286000,Weight increased (finding),,
SNOMED,28651003,Orthostatic hypotension (disorder),,
SNOMED,45352006,Spasm (finding),,
SNOMED,75694006,Pancreatitis (disorder),,
SNOMED,17222009,Closed fracture of distal end of radius (disorder),,
SNOMED,57759005,First degree perineal laceration (disorder),,
SNOMED,304253006,Not for resuscitation (finding),,
SNOMED,266433003,Gastroesophageal reflux disease with esophagitis (disorder),,
SNOMED,10725009,Benign hypertension (disorder),,
SNOMED,428078001,History of total hysterectomy (situation),,
SNOMED,193093009,Bell's palsy (disorder),,
SNOMED,48867003,Bradycardia (finding),,
SNOMED,65323003,Polymyalgia rheumatica (disorder),,
SNOMED,299709002,Dental abscess (disorder),,
SNOMED,73391008,Dysplasia of cervix (disorder),,
SNOMED,80327007,Serous otitis media (disorder),,
SNOMED,116143008,Total abdominal hysterectomy (procedure),,
SNOMED,423204009,Orthopedic assessment (procedure),,
SNOMED,41291007,Angioedema (disorder),,
SNOMED,128060009,Venous varices (disorder),,
SNOMED,52734007,Total replacement of hip (procedure),,
SNOMED,367336001,Chemotherapy (procedure),,
SNOMED,39898005,Sleep disorder (disorder),,
SNOMED,53430007,Pain of breast (finding),,
SNOMED,785696007,Malabsorption syndrome due to intolerance to lactose (disorder),,
SNOMED,3424008,Tachycardia (finding),,
SNOMED,53726008,Acute conjunctivitis (disorder),,
SNOMED,118600007,Malignant lymphoma (disorder),,
SNOMED,66999008,Hyperparathyroidism (disorder),,
SNOMED,41565005,Periodontitis (disorder),,
SNOMED,428262008,History of malignant neoplasm of prostate (situation),,
SNOMED,275531008,History of pacemaker in situ (situation),,
SNOMED,697929007,Intermittent hypertension (disorder),,
SNOMED,297242006,Family history of ischemic heart disease (situation),,
SNOMED,420279001,Renal disorder due to type 2 diabetes mellitus (disorder),,
SNOMED,72274001,Nerve root disorder (disorder),,
SNOMED,414875008,Nonexudative age-related macular degeneration (disorder),,
SNOMED,289259007,Vaginal delivery (finding),,
SNOMED,765378003,History of primary malignant neoplasm of skin (situation),,
SNOMED,398057008,Tension-type headache (disorder),,
SNOMED,200681001,Cellulitis and abscess of lower leg (disorder),,
SNOMED,373621006,Chronic pain syndrome (disorder),,
SNOMED,267024001,Abnormal weight loss (finding),,
SNOMED,267432004,Pure hypercholesterolemia (disorder),,
SNOMED,54398005,Acute upper respiratory infection (disorder),,
SNOMED,102594003,Electrocardiogram abnormal (finding),,
SNOMED,277843001,Problem behavior (finding),,
SNOMED,62479008,Acquired immune deficiency syndrome (disorder),,
SNOMED,90968009,Prolonged pregnancy (disorder),,
